X	Y	Z
4298583.63	5507049.9	142.415
4298583.69	5507024.79	140.314
4298583.91	5507030.3	140.268
4298583.96	5507162.15	142.165
4298584.01	5507022.05	140.341
4298584.02	5507152.11	142.33
4298584.16	5507035.28	140.348
4298584.21	5507016.31	140.45
4298584.21	5507037.5	140.59
4298584.22	5507013.35	140.666
4298584.34	5506781.74	144.37
4298584.4	5506981.15	143.21
4298584.49	5507010.61	141.36
4298584.52	5507033	140.26
4298584.57	5507019.34	140.363
4298584.7	5506998.42	142.892
4298584.82	5507039.86	141.22
4298584.89	5507027.89	140.169
4298584.95	5507025.14	140.196
4298585.16	5507010.72	140.669
4298585.19	5507030.62	140.143
4298585.27	5507037.82	140.352
4298585.29	5507022.41	140.225
4298585.3	5507013.76	140.437
4298585.35	5507007.94	141.381
4298585.37	5507035.63	140.264
4298585.43	5507016.72	140.359
4298585.51	5507039.97	140.597
4298585.53	5507055.59	142.401
4298585.54	5507172.9	142.358
4298585.78	5507033.31	140.131
4298585.84	5507019.71	140.247
4298585.93	5507042.44	141.22
4298586	5507008.06	140.682
4298586.22	5507028.08	140.213
4298586.23	5507011.14	140.44
4298586.26	5507005.29	141.393
4298586.27	5507025.34	140.241
4298586.41	5507038.18	140.269
4298586.47	5507014.17	140.346
4298586.5	5507040.3	140.357
4298586.52	5507030.81	140.184
4298586.58	5507035.94	140.131
4298586.6	5507042.54	140.603
4298586.62	5507022.62	140.27
4298586.67	5507017.1	140.245
4298586.72	5507104.73	142.51
4298586.88	5507045.07	141.22
4298586.9	5507005.41	140.688
4298586.95	5506933.62	143.54
4298587.07	5507008.5	140.452
4298587.09	5507033.49	140.169
4298587.14	5506992.95	142.898
4298587.17	5507019.94	140.292
4298587.22	5507002.66	141.399
4298587.37	5507061.29	142.378
4298587.38	5507011.56	140.347
4298587.53	5507042.88	140.362
4298587.54	5507028.31	140.255
4298587.54	5507045.18	140.609
4298587.55	5507038.5	140.133
4298587.55	5507040.68	140.275
4298587.59	5507025.57	140.284
4298587.65	5507014.54	140.236
4298587.76	5507047.73	141.22
4298587.8	5507166.76	142.103
4298587.85	5507036.13	140.166
4298587.85	5507002.78	140.688
4298587.86	5507031.02	140.225
4298587.96	5507022.86	140.311
4298587.97	5507017.32	140.292
4298587.97	5507005.87	140.457
4298588.23	5507008.93	140.356
4298588.27	5507000.06	141.404
4298588.35	5506889.04	143.87
4298588.41	5507033.7	140.207
4298588.43	5507047.83	140.615
4298588.46	5507045.5	140.367
4298588.51	5507020.18	140.331
4298588.53	5507043.26	140.28
4298588.55	5507011.94	140.239
4298588.55	5507050.42	141.221
4298588.6	5507041.03	140.136
4298588.75	5507038.71	140.166
4298588.84	5506829.01	144.06
4298588.87	5507028.54	140.289
4298588.89	5507000.19	140.686
4298588.9	5507014.75	140.286
4298588.9	5507003.26	140.457
4298588.91	5507025.81	140.318
4298589.02	5507067.06	142.324
4298589.074	5507223.078	142.94
4298589.11	5507006.32	140.359
4298589.12	5507036.34	140.204
4298589.2	5507031.24	140.256
4298589.24	5507050.51	140.622
4298589.26	5507017.56	140.332
4298589.29	5507023.11	140.345
4298589.29	5507053.12	141.219
4298589.34	5507048.14	140.373
4298589.4	5507009.32	140.249
4298589.41	5506997.5	141.406
4298589.44	5507045.88	140.286
4298589.53	5507043.61	140.138
4298589.71	5507041.26	140.167
4298589.72	5507033.92	140.236
4298589.78	5507012.15	140.29
4298589.84	5507020.44	140.362
4298589.87	5507211.47	142.84
4298589.87	5506987.63	142.919
4298589.95	5507038.94	140.203
4298589.95	5507000.69	140.456
4298589.95	5507176.95	142.229
4298589.96	5507055.84	141.215
4298590	5507053.2	140.627
4298590.03	5506997.64	140.682
4298590.04	5507003.71	140.357
4298590.06	5506796.69	144.65
4298590.15	5507014.98	140.327
4298590.16	5507028.66	140.428
4298590.17	5507050.79	140.378
4298590.19	5507025.95	140.457
4298590.28	5507006.71	140.253
4298590.32	5507048.5	140.293
4298590.39	5507036.56	140.231
4298590.42	5507046.22	140.141
4298590.5	5507031.35	140.393
4298590.56	5507017.81	140.364
4298590.59	5507043.85	140.168
4298590.59	5506994.96	141.41
4298590.6	5507023.27	140.483
4298590.64	5507009.55	140.298
4298590.65	5507058.56	141.213
4298590.65	5507119.22	142.28
4298590.66	5507072.82	142.271
4298590.7	5507055.91	140.629
4298590.82	5507041.51	140.203
4298590.83	5506874.76	144.14
4298590.88	5506948.1	143.44
4298590.96	5507053.46	140.383
4298591	5507034.02	140.37
4298591.02	5507012.39	140.33
4298591.04	5507028.84	141.1
4298591.08	5507026.14	141.127
4298591.09	5507001.16	140.355
4298591.1	5506998.17	140.453
4298591.14	5507020.61	140.499
4298591.15	5507039.18	140.23
4298591.16	5507051.14	140.3
4298591.19	5507004.12	140.254
4298591.2	5506995.11	140.68
4298591.21	5507134.68	142.21
4298591.3	5507048.84	140.145
4298591.38	5507061.27	141.213
4298591.39	5507015.22	140.361
4298591.4	5507058.62	140.632
4298591.4	5507031.52	141.066
4298591.45	5507046.46	140.169
4298591.5	5507023.47	141.15
4298591.51	5507006.95	140.303
4298591.6	5506848.31	144.15
4298591.63	5507036.66	140.365
4298591.64	5507044.12	140.204
4298591.67	5507056.14	140.383
4298591.8	5506992.43	141.417
4298591.83	5507017.98	140.501
4298591.88	5507009.8	140.337
4298591.88	5507034.18	141.044
4298591.93	5507041.77	140.229
4298591.97	5507053.78	140.305
4298592.05	5507020.82	141.162
4298592.13	5507061.32	140.637
4298592.13	5507063.97	141.215
4298592.15	5507051.46	140.149
4298592.22	5507099.68	142.47
4298592.25	5507012.64	140.364
4298592.26	5507001.59	140.254
4298592.26	5506998.66	140.351
4298592.26	5506995.64	140.451
4298592.32	5507039.29	140.363
4298592.33	5507049.06	140.171
4298592.36	5507170.63	142.035
4298592.38	5507058.83	140.384
4298592.38	5506992.58	140.681
4298592.42	5507004.36	140.305
4298592.47	5507036.82	141.04
4298592.49	5507046.72	140.205
4298592.51	5507078.52	142.226
4298592.61	5507015.39	140.499
4298592.7	5507044.39	140.228
4298592.71	5507056.45	140.307
4298592.71	5507018.2	141.162
4298592.74	5507007.2	140.341
4298592.78	5506982.39	142.948
4298592.88	5507064.01	140.644
4298592.91	5507066.66	141.219
4298592.99	5507054.08	140.152
4298593.01	5507041.9	140.361
4298593.04	5506989.92	141.425
4298593.11	5507061.52	140.387
4298593.11	5507039.45	141.04
4298593.12	5507010.05	140.369
4298593.2	5507051.67	140.173
4298593.36	5507049.32	140.206
4298593.41	5506996.15	140.348
4298593.42	5506993.12	140.453
4298593.43	5507059.12	140.307
4298593.44	5506999.11	140.253
4298593.45	5507012.81	140.502
4298593.46	5507015.6	141.16
4298593.49	5507001.84	140.307
4298593.52	5507046.99	140.228
4298593.58	5506900.72	143.86
4298593.6	5506990.06	140.682
4298593.64	5507004.62	140.343
4298593.66	5507066.7	140.652
4298593.67	5507184.8	142.06
4298593.68	5507069.36	141.223
4298593.72	5507044.52	140.36
4298593.74	5507042.08	141.039
4298593.75	5507056.73	140.151
4298593.85	5507064.2	140.39
4298593.97	5507007.46	140.373
4298594	5507189.6	141.796
4298594.06	5507054.27	140.175
4298594.15	5507061.8	140.309
4298594.19	5507181.19	142.007
4298594.21	5507191.64	140.814
4298594.24	5507051.91	140.208
4298594.25	5507164.32	142.25
4298594.29	5507013.03	141.16
4298594.31	5506987.42	141.433
4298594.33	5507010.24	140.506
4298594.39	5507049.58	140.229
4298594.4	5507084.21	142.183
4298594.41	5507044.7	141.04
4298594.42	5507069.39	140.66
4298594.42	5507072.06	141.227
4298594.47	5507059.39	140.147
4298594.52	5507047.12	140.359
4298594.55	5506993.64	140.348
4298594.59	5506996.61	140.253
4298594.6	5506990.61	140.454
4298594.61	5507066.87	140.394
4298594.69	5506999.37	140.307
4298594.71	5507150.08	142.1
4298594.73	5507002.11	140.344
4298594.81	5506962.59	143.29
4298594.83	5506987.56	140.684
4298594.84	5507056.91	140.172
4298594.87	5507004.89	140.375
4298594.88	5507064.47	140.31
4298595	5507023.21	142.819
4298595.07	5507074.78	141.23
4298595.13	5507054.5	140.21
4298595.16	5507072.09	140.669
4298595.17	5507007.66	140.508
4298595.17	5507010.47	141.16
4298595.19	5507062.05	140.143
4298595.2	5507047.29	141.041
4298595.28	5507052.16	140.23
4298595.28	5507029.22	142.759
4298595.36	5507069.55	140.4
4298595.37	5507090.09	142.144
4298595.39	5507049.69	140.359
4298595.47	5507077.56	141.232
4298595.56	5507059.56	140.165
4298595.63	5507067.13	140.313
4298595.65	5506984.96	141.438
4298595.69	5506991.12	140.347
4298595.7	5506994.09	140.255
4298595.75	5506977.19	143.026
4298595.77	5507080.34	141.231
4298595.78	5506988.11	140.456
4298595.82	5507074.81	140.677
4298595.83	5506996.88	140.308
4298595.91	5507064.71	140.139
4298595.91	5507096.05	142.106
4298595.92	5507057.12	140.206
4298595.94	5506999.66	140.345
4298595.96	5507002.39	140.377
4298595.99	5507017.37	142.88
4298596.02	5507007.9	141.16
4298596.05	5507035.19	142.73
4298596.06	5507005.1	140.511
4298596.06	5507049.85	141.043
4298596.09	5507072.23	140.407
4298596.14	5506985.1	140.682
4298596.19	5507054.73	140.232
4298596.24	5507077.57	140.685
4298596.27	5507062.21	140.158
4298596.29	5507052.25	140.36
4298596.31	5507083.09	141.222
4298596.36	5507069.8	140.318
4298596.5	5507102.02	142.08
4298596.58	5507080.34	140.69
4298596.64	5507067.36	140.136
4298596.65	5507059.76	140.197
4298596.73	5507174.73	141.833
4298596.75	5507074.93	140.413
4298596.8	5506991.58	140.256
4298596.81	5506988.61	140.347
4298596.9	5507005.35	141.16
4298596.92	5506994.37	140.311
4298596.96	5507052.4	141.046
4298596.96	5507085.82	141.207
4298596.98	5507064.86	140.149
4298597	5507057.33	140.227
4298597	5507180	140.67
4298597.03	5506985.64	140.455
4298597.08	5507072.47	140.323
4298597.08	5506997.18	140.346
4298597.08	5507107.98	142.059
4298597.13	5507083.09	140.687
4298597.14	5506982.58	141.432
4298597.16	5507002.62	140.513
4298597.19	5506999.96	140.378
4298597.19	5507077.67	140.419
4298597.22	5507054.8	140.362
4298597.36	5507070.02	140.136
4298597.36	5507062.4	140.188
4298597.51	5506915.21	143.8
4298597.54	5507113.96	142.055
4298597.58	5507080.42	140.423
4298597.59	5506982.71	140.672
4298597.65	5507088.53	141.193
4298597.69	5507067.52	140.142
4298597.71	5507040.98	142.73
4298597.73	5507059.96	140.216
4298597.73	5507075.16	140.329
4298597.78	5507085.8	140.68
4298597.88	5506989.05	140.258
4298597.91	5507054.93	141.049
4298597.99	5506991.84	140.314
4298598	5507119.94	142.05
4298598.01	5506986.13	140.345
4298598.01	5507002.88	141.16
4298598.05	5507065.05	140.176
4298598.06	5507072.69	140.138
4298598.06	5507057.39	140.356
4298598.09	5507011.73	142.922
4298598.14	5507083.14	140.419
4298598.15	5506994.66	140.349
4298598.21	5507077.88	140.336
4298598.33	5506997.48	140.38
4298598.36	5507091.24	141.177
4298598.4	5507070.17	140.139
4298598.41	5507000.21	140.515
4298598.42	5506983.24	140.447
4298598.43	5507185.43	141.725
4298598.44	5507062.6	140.204
4298598.44	5507088.52	140.672
4298598.59	5507125.9	142.056
4298598.63	5507080.61	140.34
4298598.67	5506980.24	141.424
4298598.71	5507075.37	140.14
4298598.75	5507067.7	140.165
4298598.76	5507057.5	141.046
4298598.78	5507085.85	140.412
4298598.79	5507060	140.343
4298598.83	5506972.07	143.082
4298598.89	5507093.99	141.158
4298598.94	5506777.42	144.73
4298599	5507137.87	141.863
4298599	5507131.87	142.013
4298599.01	5506986.56	140.259
4298599.01	5506989.31	140.317
4298599.08	5507072.83	140.137
4298599.09	5506980.36	140.658
4298599.12	5507065.24	140.188
4298599.12	5507091.23	140.664
4298599.18	5506992.13	140.351
4298599.21	5507078.07	140.143
4298599.21	5507083.32	140.338
4298599.25	5507096.77	141.134
4298599.27	5507000.49	141.16
4298599.33	5506983.72	140.338
4298599.36	5507046.77	142.532
4298599.37	5506994.96	140.383
4298599.4	5507088.56	140.405
4298599.43	5507070.35	140.16
4298599.48	5507143.83	141.772
4298599.49	5507062.63	140.328
4298599.49	5507060.1	141.034
4298599.54	5506997.74	140.517
4298599.56	5507099.56	141.11
4298599.63	5507093.98	140.653
4298599.68	5507080.78	140.144
4298599.73	5507075.5	140.136
4298599.73	5507210.04	142.21
4298599.8	5507067.89	140.175
4298599.83	5507086.01	140.333
4298599.84	5507102.35	141.085
4298599.86	5506980.88	140.437
4298599.93	5507190.49	141.598
4298599.98	5507107.94	141.05
4298599.99	5507096.75	140.637
4298600	5507006.01	142.953
4298600.01	5507110.74	141.023
4298600.03	5507091.26	140.398
4298600.03	5507105.14	141.062
4298600.09	5506986.8	140.319
4298600.09	5507113.54	141.002
4298600.1	5507073	140.156
4298600.13	5507192.69	140.769
4298600.15	5506989.58	140.354
4298600.16	5507065.26	140.309
4298600.18	5507062.72	141.019
4298600.19	5506977.89	141.417
4298600.21	5507116.34	140.981
4298600.25	5507078.19	140.136
4298600.27	5507083.47	140.14
4298600.27	5507149.77	141.723
4298600.28	5506984.13	140.255
4298600.3	5507099.53	140.622
4298600.37	5506992.43	140.385
4298600.41	5507088.71	140.328
4298600.41	5506998.04	141.16
4298600.44	5507119.13	140.958
4298600.45	5506824.86	144.2
4298600.47	5507070.53	140.166
4298600.51	5507093.99	140.387
4298600.56	5506995.23	140.519
4298600.58	5507102.31	140.605
4298600.59	5506978	140.646
4298600.71	5506981.33	140.329
4298600.71	5507121.91	140.935
4298600.74	5507075.66	140.154
4298600.75	5507080.88	140.135
4298600.77	5507107.89	140.586
4298600.78	5507105.1	140.59
4298600.8	5507052.61	142.44
4298600.82	5507067.89	140.293
4298600.82	5507110.64	140.561
4298600.85	5507096.75	140.374
4298600.85	5507065.34	141
4298600.87	5507086.16	140.133
4298600.92	5507113.42	140.543
4298600.95	5507022.8	142.96
4298600.97	5507178.97	141.552
4298600.98	5507124.7	140.916
4298600.99	5507091.41	140.323
4298601.06	5507116.2	140.525
4298601.083	5507222.477	142.39
4298601.12	5507073.18	140.161
4298601.15	5507099.51	140.359
4298601.17	5506987.06	140.356
4298601.18	5507155.69	141.7
4298601.25	5507127.49	140.901
4298601.29	5507078.34	140.153
4298601.29	5506989.87	140.387
4298601.3	5506984.35	140.319
4298601.3	5507118.97	140.505
4298601.31	5506978.51	140.428
4298601.36	5507083.56	140.13
4298601.41	5507088.85	140.127
